name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
We're All Gonna Die,Dawes,1SwrPOu6BfuyzNTn7iA3j1,i.i,0.617,0.289,0,-6.739,1,0.0362,0.415,0.0197,0.105,0.37,133.325,304733,4
Californication,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,i.i,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4
Someday - Remastered,Sugar Ray,6NcHJ23mLQKnVxQcOmT7JW,late afternoon,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4
Wonderin' Why,Aer,0bK7f8kQHVJL5At3879z5o,late afternoon,0.667,0.79,11,-4.918,1,0.169,0.153,0.0,0.285,0.808,169.904,184604,4
Just Like Heaven,The Cure,76GlO5H5RT6g7y0gev86Nk,late afternoon,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000,4
Sophie So,Hippo Campus,1KTZw6NMt0rSIPYKYQNEWd,late afternoon,0.598,0.717,4,-7.023,1,0.0349,0.0126,6.65e-06,0.237,0.425,127.958,205045,4
Like the Way,Aer,4qHYLoxbKUHu6iZCqEYz7k,late afternoon,0.859,0.697,9,-6.108,1,0.119,0.122,0.0,0.0887,0.549,89.995,207417,4
Feel I Bring,Aer,2p7QqN1aMNg6aVMTR78a2x,late afternoon,0.83,0.735,5,-10.298,1,0.0595,0.135,2.88e-05,0.119,0.566,135.029,173877,4
Says She Loves Me,Aer,2p4Yx2CRINRoK2rNdIq2RE,late afternoon,0.814,0.713,7,-7.004,1,0.04,0.029,1.16e-06,0.352,0.879,126.003,219240,4
I’m Alive (Life Sounds Like),Michael Franti & Spearhead,3aAeqtqnSpRfkXjGZG0gm2,late afternoon,0.569,0.902,11,-4.007,1,0.053,0.00519,2.82e-06,0.124,0.944,137.985,231893,4
The Sound Of Sunshine,Michael Franti & Spearhead,3Uuop7Zz1IlyMSr7DPydxf,late afternoon,0.673,0.906,10,-4.904,1,0.057,0.016,0.015,0.264,0.685,97.003,225133,4
Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,late afternoon,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
Learning To Fly,Tom Petty and the Heartbreakers,17S4XrLvF5jlGvGCJHgF51,late afternoon,0.651,0.766,0,-9.935,1,0.0299,0.206,0.00103,0.362,0.949,116.74,242107,4
Fly,Sugar Ray,3uPfVXcjnpOjyzI3jb3js4,late afternoon,0.835,0.648,1,-8.15,1,0.0488,0.0202,0.225,0.308,0.674,99.701,244640,4
The Fall,The Avett Brothers,2ARJQ2yUfQ0Y8ZHbNyV8bD,late afternoon,0.537,0.689,7,-4.663,1,0.0296,0.0647,0.0,0.562,0.651,96.355,184520,4
I. The Worst Guys,Childish Gambino,7pRcWov3NHxi0GDkKdbSb0,late afternoon,0.613,0.684,5,-6.488,0,0.104,0.0534,0.0,0.0662,0.399,97.028,219747,4
Suicide Saturday (Live from Chicago),Hippo Campus,0RXV7aSGYKgUNtOH9VvHAT,late afternoon,0.392,0.725,5,-7.329,1,0.0641,0.0228,0.0,0.95,0.525,157.242,221942,4
Way It Goes,Hippo Campus,4UMyBsHLnDvtXygxDAKbpj,late afternoon,0.542,0.906,9,-4.213,1,0.0491,0.021,0.00043,0.377,0.515,120.014,245456,4
Vines,Hippo Campus,448V07W0zPY7ep7Dtc9Ukm,late afternoon,0.672,0.788,0,-5.5,1,0.0417,0.482,0.0,0.084,0.661,105.991,159057,4
Moving On and Getting Over,John Mayer,1crSsvtU9wZB15dIQXV2QH,late afternoon,0.85,0.461,6,-9.018,0,0.0539,0.591,0.0409,0.1,0.628,94.038,265360,4
Waiting On the World to Change,John Mayer,5imShWWzwqfAJ9gXFpGAQh,late afternoon,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,201173,4
Daughters,John Mayer,5FPnjikbwlDMULCCCa6ZCJ,late afternoon,0.674,0.413,2,-7.816,1,0.0274,0.837,1.91e-05,0.098,0.503,124.895,237907,3
