name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Enough!!,A Tribe Called Quest,1WvGWCDuj0dfRpuBuYecXp,~,0.676,0.57,2,-7.23,1,0.0652,0.251,0.000663,0.295,0.236,77.381,200693,4
Redbone,Childish Gambino,47l9wxr6RwgoTSfnseBRcf,~,0.747,0.378,1,-10.454,1,0.109,0.195,0.0173,0.119,0.565,160.049,326880,4
Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,2RPbEp0DyBVlkRvvYKopO7,~,0.706,0.688,1,-6.357,1,0.269,0.151,0.0,0.466,0.313,125.966,330783,4
Sleep On The Floor,The Lumineers,5MMZJtHOiH1RmQSSe3DJdg,~,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,211851,4
Gun Song,The Lumineers,02VxlOxetoqdcq2G7zHImz,~,0.683,0.713,7,-5.512,1,0.025,0.294,2.47e-05,0.0997,0.286,96.27,216547,4
Slow It Down,The Lumineers,66nJBHV6WtQI3IiU6n8fY5,~,0.428,0.064,1,-14.42,1,0.0374,0.929,0.0,0.0859,0.108,142.436,307000,4
Don't You Cry For Me,Cobi,6fhEYtnORqxaEoxSrMH2bx,~,0.41,0.648,7,-4.469,1,0.0362,0.503,0.0,0.219,0.337,60.391,256333,4
What Is Yet,Blind Pilot,10CK3zHjc2rcol0tl3aNTX,~,0.502,0.257,1,-10.536,0,0.0314,0.827,0.0538,0.158,0.0792,112.97,367107,4
Seeing Is Believing,Blind Pilot,6N9WFsF4HtvKrWiLXxlttA,~,0.257,0.407,9,-8.507,1,0.0339,0.598,0.00186,0.0952,0.333,200.497,210267,3
Umpqua Rushing,Blind Pilot,5KDYoDGFVjJ0QBOgZm87Wm,~,0.472,0.598,0,-7.045,1,0.0357,0.215,0.00706,0.18,0.371,77.988,254747,4
Joik #3,Blind Pilot,0Y4GUS8Jyy412ndDGHwpOk,~,0.499,0.244,4,-10.399,1,0.0284,0.84,3.23e-05,0.0992,0.3,144.348,198213,3
Packed Powder,Blind Pilot,4JbKTG0iQ41As64aMNKkit,~,0.417,0.726,9,-5.946,1,0.0291,0.0203,0.055,0.0986,0.63,92.834,216200,4
He Doesn't Know Why,Fleet Foxes,2xa35aj67lT8L4teMR64XK,~,0.507,0.556,1,-5.53,1,0.0297,0.256,4.56e-05,0.339,0.464,93.951,200493,4
State Line,The Dip,6vDH7DeS588qqrbxDuj6MU,~,0.607,0.491,11,-6.643,1,0.0888,0.425,0.000507,0.109,0.69,88.781,172400,4
Social Sites,Cosmo Pyke,0puyikpyVwe8TTv2tvMHeq,~,0.411,0.618,4,-4.964,0,0.0469,0.109,0.0,0.279,0.211,120.734,289309,4
Diamonds,Danger Incorporated,2OrMrZo3yQ2zJHOttgZ992,~,0.614,0.618,6,-7.779,1,0.0612,0.379,3.8e-05,0.0784,0.269,107.674,251857,4
